date,sweep_et,choch_et,side,pool_level,sweep_extreme,fvg_low,fvg_high,entry,stop,target,risk_points,planned_contracts,contracts,filled,fill_et,exit_et,exit_reason,r_multiple,net_pnl
2026-07-22,09:47,10:09,SHORT,29186.0,29283.75,29244.0,29253.5,29248.75,29284.75,29212.75,36.0,6,6,True,10:11,10:15,target,1.0,424.56
2026-07-23,12:40,12:46,SHORT,28715.0,28734.25,28687.5,28698.75,28693.12,28735.25,28651.0,42.12,5,0,False,,,expired,,
2026-07-24,09:49,10:09,LONG,28458.25,28304.25,28352.5,28357.75,28355.12,28303.25,28407.0,51.88,4,4,True,10:17,10:19,stop,-1.005,-421.96
2026-07-27,12:29,12:36,SHORT,28154.25,28196.75,28150.75,28153.5,28152.12,28197.75,28106.5,45.62,5,5,True,12:36,12:50,target,1.0,450.05
2026-07-28,11:39,12:08,SHORT,28010.0,28068.75,28029.5,28044.0,28036.75,28069.75,28003.75,33.0,7,7,True,12:20,12:23,target,1.0,453.32
2026-07-29,09:47,10:05,LONG,27836.5,27667.75,27732.75,27733.5,27733.12,27666.75,27799.5,66.38,3,3,True,10:07,10:12,stop,-1.004,-403.47
2026-07-30,10:31,10:43,SHORT,28240.0,28246.5,28221.75,28227.5,28224.62,28247.5,28201.75,22.88,10,10,True,15:07,15:09,stop,-1.011,-474.9
2026-07-31,10:01,10:19,LONG,28295.5,28079.75,28127.25,28131.0,28129.12,28078.75,28179.5,50.38,4,4,True,11:28,11:35,target,1.0,398.04
2026-08-03,12:04,12:27,SHORT,28814.5,28847.25,28839.75,28840.25,28840.0,28848.25,28831.75,8.25,30,30,True,12:30,12:32,target,1.0,457.8
2026-08-04,09:56,10:21,SHORT,29452.75,29548.25,29460.25,29461.5,29460.88,29549.25,29372.5,88.38,2,2,True,10:21,10:27,stop,-1.003,-356.98
2026-08-05,09:30,09:51,SHORT,29978.5,30074.0,29946.75,29991.5,29969.12,30075.0,29863.25,105.88,2,2,True,09:51,10:31,target,1.0,421.02
2026-08-06,10:00,10:28,SHORT,29551.0,29667.0,29619.75,29629.75,29624.75,29668.0,29581.5,43.25,5,5,True,10:33,10:38,target,1.0,426.3
2026-08-07,10:02,10:19,LONG,29643.75,29564.5,29625.25,29646.0,29635.62,29563.5,29707.75,72.12,3,0,False,,,expired,,
2026-08-10,09:30,09:56,SHORT,29827.5,29841.75,29791.75,29792.75,29792.25,29842.75,29741.75,50.5,4,4,True,09:57,10:06,stop,-1.005,-410.96
2026-08-11,10:51,11:00,SHORT,29792.5,29804.75,29787.0,29788.0,29787.5,29805.75,29769.25,18.25,13,13,True,11:01,11:05,target,1.0,458.38
2026-08-12,09:30,09:57,SHORT,29992.75,30001.75,29924.75,29945.25,29935.0,30002.75,29867.25,67.75,3,3,True,10:11,10:20,target,1.0,402.78
